County,Election_Date,Precinct,Contest_Group_ID,Contest_Type,Contest_Name,Choice,Choice_Party,Vote_For,Election_Day,One_Stop,Absentee_by_Mail,Provisional,Total_Votes
IREDELL,2016-11-08,CC4,1001,S,US PRESIDENT,Write-In (Miscellaneous),,1,30,29,2,0,61
IREDELL,2016-11-08,CH-B,1001,S,US PRESIDENT,Write-In (Miscellaneous),,1,16,3,0,0,19
IREDELL,2016-11-08,CC2,1001,S,US PRESIDENT,Write-In (Miscellaneous),,1,30,21,0,0,51
IREDELL,2016-11-08,ST5,1001,S,US PRESIDENT,Write-In (Miscellaneous),,1,12,11,3,0,26
IREDELL,2016-11-08,ST2,1001,S,US PRESIDENT,Write-In (Miscellaneous),,1,15,15,0,0,30
IREDELL,2016-11-08,CS,1001,S,US PRESIDENT,Write-In (Miscellaneous),,1,6,3,0,0,9
IREDELL,2016-11-08,BE,1001,S,US PRESIDENT,Write-In (Miscellaneous),,1,12,22,5,0,39
IREDELL,2016-11-08,SH-B,1001,S,US PRESIDENT,Write-In (Miscellaneous),,1,8,8,1,0,17
IREDELL,2016-11-08,DV2-B,1001,S,US PRESIDENT,Write-In (Miscellaneous),,1,20,15,4,0,39
IREDELL,2016-11-08,ST6,1001,S,US PRESIDENT,Write-In (Miscellaneous),,1,5,10,1,0,16
IREDELL,2016-11-08,CD,1001,S,US PRESIDENT,Write-In (Miscellaneous),,1,13,11,1,0,25
IREDELL,2016-11-08,CC3,1001,S,US PRESIDENT,Write-In (Miscellaneous),,1,32,36,7,0,75
IREDELL,2016-11-08,DV2-A,1001,S,US PRESIDENT,Write-In (Miscellaneous),,1,21,15,3,0,39
IREDELL,2016-11-08,EM,1001,S,US PRESIDENT,Write-In (Miscellaneous),,1,2,1,0,0,3
IREDELL,2016-11-08,SH-A,1001,S,US PRESIDENT,Write-In (Miscellaneous),,1,11,11,0,0,22
IREDELL,2016-11-08,UG,1001,S,US PRESIDENT,Write-In (Miscellaneous),,1,8,1,0,0,9
IREDELL,2016-11-08,ST3,1001,S,US PRESIDENT,Write-In (Miscellaneous),,1,7,10,0,0,17
IREDELL,2016-11-08,OL,1001,S,US PRESIDENT,Write-In (Miscellaneous),,1,2,2,0,0,4
IREDELL,2016-11-08,FT,1001,S,US PRESIDENT,Write-In (Miscellaneous),,1,17,36,3,0,56
IREDELL,2016-11-08,DV1-A,1001,S,US PRESIDENT,Write-In (Miscellaneous),,1,36,19,4,0,59
IREDELL,2016-11-08,ST1,1001,S,US PRESIDENT,Write-In (Miscellaneous),,1,14,16,3,0,33
IREDELL,2016-11-08,CC1,1001,S,US PRESIDENT,Write-In (Miscellaneous),,1,26,14,1,0,41
IREDELL,2016-11-08,NH,1001,S,US PRESIDENT,Write-In (Miscellaneous),,1,1,1,0,0,2
IREDELL,2016-11-08,DV1-B,1001,S,US PRESIDENT,Write-In (Miscellaneous),,1,28,44,13,0,85
IREDELL,2016-11-08,SB,1001,S,US PRESIDENT,Write-In (Miscellaneous),,1,8,5,1,0,14
IREDELL,2016-11-08,ST4,1001,S,US PRESIDENT,Write-In (Miscellaneous),,1,6,11,4,0,21
IREDELL,2016-11-08,CH-A,1001,S,US PRESIDENT,Write-In (Miscellaneous),,1,9,4,1,0,14
IREDELL,2016-11-08,BA,1001,S,US PRESIDENT,Write-In (Miscellaneous),,1,17,13,1,0,31
LENOIR,2016-11-08,K5,1001,S,US PRESIDENT,Donald J. Trump,REP,1,82,128,0,0,210
LENOIR,2016-11-08,V,1001,S,US PRESIDENT,Donald J. Trump,REP,1,137,541,0,0,678
LENOIR,2016-11-08,K7,1001,S,US PRESIDENT,Donald J. Trump,REP,1,32,173,0,0,205
LENOIR,2016-11-08,K1,1001,S,US PRESIDENT,Donald J. Trump,REP,1,0,3,0,0,3
LENOIR,2016-11-08,I,1001,S,US PRESIDENT,Donald J. Trump,REP,1,232,571,0,0,803
LENOIR,2016-11-08,T2,1001,S,US PRESIDENT,Donald J. Trump,REP,1,242,299,0,0,541
LENOIR,2016-11-08,SH,1001,S,US PRESIDENT,Donald J. Trump,REP,1,260,147,0,0,407
LENOIR,2016-11-08,T1,1001,S,US PRESIDENT,Donald J. Trump,REP,1,263,482,0,0,745
LENOIR,2016-11-08,N,1001,S,US PRESIDENT,Donald J. Trump,REP,1,301,1145,0,0,1446
LENOIR,2016-11-08,PH2,1001,S,US PRESIDENT,Donald J. Trump,REP,1,192,464,0,0,656
LENOIR,2016-11-08,MH,1001,S,US PRESIDENT,Donald J. Trump,REP,1,198,1072,0,0,1270
LENOIR,2016-11-08,FC,1001,S,US PRESIDENT,Donald J. Trump,REP,1,331,1731,0,0,2062
LENOIR,2016-11-08,ABSENTEE,1001,S,US PRESIDENT,Donald J. Trump,REP,1,0,0,260,0,260
LENOIR,2016-11-08,K8,1001,S,US PRESIDENT,Donald J. Trump,REP,1,2,7,0,0,9
LENOIR,2016-11-08,K2,1001,S,US PRESIDENT,Donald J. Trump,REP,1,6,9,0,0,15
LENOIR,2016-11-08,K3,1001,S,US PRESIDENT,Donald J. Trump,REP,1,63,89,0,0,152
LENOIR,2016-11-08,CURBSIDE,1001,S,US PRESIDENT,Donald J. Trump,REP,1,0,0,0,0,0
LENOIR,2016-11-08,PROVISIONAL,1001,S,US PRESIDENT,Donald J. Trump,REP,1,0,0,0,0,0
LENOIR,2016-11-08,PH1,1001,S,US PRESIDENT,Donald J. Trump,REP,1,193,181,0,0,374
LENOIR,2016-11-08,C,1001,S,US PRESIDENT,Donald J. Trump,REP,1,296,496,0,0,792
LENOIR,2016-11-08,K6,1001,S,US PRESIDENT,Donald J. Trump,REP,1,19,139,0,0,158
LENOIR,2016-11-08,W,1001,S,US PRESIDENT,Donald J. Trump,REP,1,233,448,0,0,681
LENOIR,2016-11-08,K9,1001,S,US PRESIDENT,Donald J. Trump,REP,1,78,390,0,0,468
LENOIR,2016-11-08,K4,1001,S,US PRESIDENT,Donald J. Trump,REP,1,135,728,0,0,863
LENOIR,2016-11-08,SW,1001,S,US PRESIDENT,Donald J. Trump,REP,1,270,313,0,0,583
LENOIR,2016-11-08,SW,1001,S,US PRESIDENT,Gary Johnson,LIB,1,5,4,0,0,9
LENOIR,2016-11-08,PROVISIONAL,1001,S,US PRESIDENT,Gary Johnson,LIB,1,0,0,0,0,0
LENOIR,2016-11-08,MH,1001,S,US PRESIDENT,Gary Johnson,LIB,1,6,35,0,0,41
LENOIR,2016-11-08,K4,1001,S,US PRESIDENT,Gary Johnson,LIB,1,14,27,0,0,41
LENOIR,2016-11-08,PH2,1001,S,US PRESIDENT,Gary Johnson,LIB,1,6,6,0,0,12
LENOIR,2016-11-08,W,1001,S,US PRESIDENT,Gary Johnson,LIB,1,7,8,0,0,15
LENOIR,2016-11-08,C,1001,S,US PRESIDENT,Gary Johnson,LIB,1,18,19,0,0,37
