"county_id","precinct_desc","party_cd","Voted","N"
32,"32","UNA",TRUE,1062
32,"36","DEM",TRUE,1380
32,"27","UNA",TRUE,897
32,"34-1","DEM",TRUE,1636
32,"46","DEM",TRUE,1589
32,"45","REP",TRUE,1007
32,"52","DEM",TRUE,1959
32,"53-2","UNA",TRUE,1252
32,"38","REP",TRUE,614
32,"36","REP",TRUE,202
32,"54","UNA",TRUE,1695
32,"18","DEM",TRUE,1176
32,"32","DEM",TRUE,967
32,"4","DEM",TRUE,831
32,"48","DEM",TRUE,871
32,"9","DEM",TRUE,1419
32,"46","REP",TRUE,286
32,"30-1","DEM",TRUE,3453
32,"43","REP",TRUE,812
32,"24","DEM",TRUE,1674
32,"37","REP",TRUE,1011
32,"16","DEM",TRUE,905
32,"53-2","DEM",TRUE,1468
32,"1","REP",TRUE,52
32,"23","REP",TRUE,321
32,"45","UNA",TRUE,1139
32,"21","DEM",TRUE,911
32,"39","DEM",TRUE,1375
32,"21","UNA",TRUE,399
32,"10","DEM",TRUE,690
32,"15","UNA",TRUE,186
32,"15","DEM",TRUE,722
32,"39","REP",TRUE,553
32,"50","UNA",TRUE,1011
32,"40","UNA",TRUE,495
32,"54","REP",TRUE,576
32,"20","DEM",TRUE,1043
32,"20","UNA",TRUE,540
32,"19","UNA",TRUE,531
32,"6","DEM",TRUE,1062
32,"2","UNA",TRUE,1162
32,"17","DEM",TRUE,1484
32,"1","DEM",TRUE,631
32,"5","DEM",TRUE,1992
32,"27","DEM",TRUE,1201
32,"16","UNA",TRUE,614
32,"1","UNA",TRUE,257
32,"46","UNA",TRUE,600
32,"26","DEM",TRUE,432
32,"55-49","UNA",TRUE,675
32,"5","REP",TRUE,324
32,"53-1","REP",TRUE,375
32,"3","DEM",TRUE,1092
32,"12","DEM",TRUE,412
32,"33","REP",TRUE,748
32,"12","REP",TRUE,16
32,"27","REP",TRUE,486
32,"3","REP",TRUE,139
32,"7","DEM",TRUE,1062
32,"47","DEM",TRUE,1213
32,"8","UNA",TRUE,510
32,"14","UNA",TRUE,242
32,"55-49","DEM",TRUE,1276
32,"16","REP",TRUE,229
32,"9","UNA",TRUE,582
32,"17","UNA",TRUE,443
32,"POLKTON","DEM",TRUE,1
32,"BANNER ELK","REP",TRUE,2
32,"30-1","LIB",TRUE,26
32,"15","REP",TRUE,43
32,"44","LIB",TRUE,21
32,"55-11","DEM",TRUE,1102
32,"2","REP",TRUE,126
32,"18","UNA",TRUE,261
32,"13","UNA",TRUE,119
32,"10","UNA",TRUE,198
32,"48","UNA",TRUE,459
